VBB,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-1.4491199999999998e-08,-5.1602e-08,3.6957e-08,-0.01038,-0.0052944
-1.96,5.610379999999999e-08,5.06994e-08,8.092e-08,-0.0099018,-0.0049772
-1.92,-5.98082e-08,-5.18714e-08,-7.94e-08,-0.00942,-0.004662
-1.88,6.02438e-08,5.126579999999999e-08,-1.85886e-08,-0.0089436,-0.0043482
-1.84,-5.6049e-08,-5.106519999999999e-08,-9.668e-08,-0.0084718,-0.0040372
-1.8,4.59594e-08,4.67924e-08,4.806e-08,-0.0080072,-0.0037302
-1.76,-3.55548e-08,-4.73918e-08,9.341599999999997e-09,-0.0075488,-0.0034288
-1.72,5.97592e-08,4.66218e-08,5.306e-08,-0.0070972,-0.0031326
-1.68,-5.36544e-08,-3.3851e-08,-8.3386e-09,-0.0066536,-0.0028434
-1.64,4.36898e-08,3.75774e-08,4.618e-08,-0.0062182,-0.002562
-1.6,-3.1144199999999995e-08,-3.12976e-08,5.404e-08,-0.0057916,-0.0022894
-1.56,-2.4369e-08,1.3302e-08,-9.883799999999997e-09,-0.0053762,-0.002027
-1.52,3.86198e-08,-1.4029399999999998e-08,7.12e-08,-0.0049712,-0.0017762
-1.48,-5.50034e-08,-3.2693999999999995e-09,1.4674399999999998e-08,-0.0045784,-0.0015382
-1.44,5.656479999999999e-08,1.59156e-08,1.162e-07,-0.0041984,-0.0013136
-1.4,-5.960779999999999e-08,-2.71682e-08,3.585219999999999e-08,-0.003833,-0.0011056
-1.36,6.0285e-08,4.42596e-08,8.332e-08,-0.0034814,-0.0009143
-1.32,-4.46242e-08,-4.7100399999999993e-08,2.07198e-08,-0.0031442,-0.00074152
-1.28,3.4113599999999995e-08,5.121119999999999e-08,1.4216e-07,-0.0028226,-0.00058854
-1.24,-1.5366799999999997e-08,-4.95692e-08,-8.05e-08,-0.0025154,-0.00045662
-1.2,5.5630199999999993e-08,5.18966e-08,-2.43924e-08,-0.002224,-0.0003455
-1.16,-5.937459999999999e-08,-4.40246e-08,-1.2062e-07,-0.0019474,-0.00025518
-1.12,5.905079999999999e-08,3.8609e-08,5.14e-09,-0.0016858,-0.00018364
-1.08,-5.94634e-08,-2.71706e-08,-8.353999999999998e-08,-0.0014406,-0.0001291
-1.04,5.6901e-08,6.9456e-09,4.45e-08,-0.0012112,-8.9194e-05
-1.0,-4.88648e-08,-6.530799999999999e-09,5.838199999999998e-09,-0.000999,-5.9766e-05
-0.96,4.08092e-08,-2.01218e-08,8.188e-08,-0.00080498,-3.9048e-05
-0.92,-2.57674e-08,3.8081e-08,2.21984e-08,-0.00062998,-2.4908e-05
-0.88,-2.95146e-08,-4.472219999999999e-08,1.1598e-07,-0.00047626,-1.5548e-05
-0.84,4.67868e-08,4.92754e-08,-4.582e-08,-0.00034414,-9.2345e-06
-0.8,-5.3617e-08,-5.0003e-08,-6.366999999999998e-09,-0.0002355,-5.5094e-06
-0.76,5.74308e-08,5.330719999999999e-08,-7.764e-08,-0.0001503,-3.1311000000000004e-06
-0.72,-5.907379999999999e-08,-4.68006e-08,-2.31688e-08,-8.8426e-05,-1.6907000000000002e-06
-0.68,5.12952e-08,4.08208e-08,-8.388e-08,-4.7414e-05,-1.0678000000000002e-06
-0.64,-5.60576e-08,-2.8419e-08,-3.18292e-08,-2.303e-05,-5.9918e-07
-0.6,5.82374e-08,1.5711599999999997e-08,-4.846e-08,-1.0306e-05,-3.858e-07
-0.56,-5.918479999999999e-08,-2.804e-10,1.3756e-07,-4.4522e-06,-3.0448e-07
-0.52,5.30096e-08,-7.5764e-09,4.21132e-08,-1.834e-06,-2.4942e-07
-0.48,-5.60166e-08,1.7479799999999997e-08,1.3552e-07,-9.913000000000001e-07,-1.5954e-07
-0.44,6.004739999999999e-08,-2.53382e-08,4.42698e-08,-5.0604e-07,-1.4016e-07
-0.4,-5.12676e-08,3.2439199999999994e-08,9.784e-08,-3.6232e-07,-3.9162e-07
-0.36,4.1346e-08,-3.23274e-08,-5.344e-08,-3.0386e-07,-1.4736e-07
-0.32,-2.6888e-08,3.0817e-08,4.5207999999999995e-09,-1.9548e-07,-2.7856e-07
-0.28,-2.85802e-08,-4.54764e-08,-1.3936e-07,-2.8364e-07,-3.157e-07
-0.24,4.71958e-08,4.9731e-08,5.36e-08,-1.9832e-07,-3.6046e-07
-0.2,-5.5564e-08,-4.99204e-08,-4.4723999999999996e-09,-2.884e-07,-2.3652e-07
-0.16,5.672719999999999e-08,5.333459999999999e-08,4.706e-08,-3.2162e-07,-1.841e-07
-0.12,-5.97372e-08,-4.59912e-08,-1.7413999999999996e-09,-3.8318e-07,-1.629e-07
-0.08,5.6365e-08,3.98434e-08,8.032e-08,-4.0892e-07,-2.227e-07
-0.04,-4.51916e-08,-2.75836e-08,3.55642e-08,-4.0432e-07,-1.9386e-07
0.0,5.93186e-08,-1.4383199999999998e-08,8.642e-08,-4.4504e-07,-1.8968e-07
0.04,-5.71698e-08,2.08426e-08,2.668e-08,-2.7602e-07,-2.6584e-07
0.08,5.0845e-08,-3.4344399999999995e-08,4.388e-08,-2.3336e-07,-9.418e-08
0.12,-4.0175599999999993e-08,4.6857e-08,-9.364e-08,-1.9552e-07,-1.079e-07
0.16,6.02722e-08,-4.72424e-08,4.384e-08,-1.6416e-07,-2.3036e-07
0.2,-5.602019999999999e-08,5.214579999999999e-08,3.3124e-09,-2.97e-07,-2.2904e-07
0.24,5.1261399999999993e-08,-5.02374e-08,4.67e-08,-2.0506e-07,6.26596e-08
0.28,-1.7560399999999998e-08,5.00096e-08,6.143799999999999e-09,1.8878e-07,3.8908e-07
0.32,-3.66228e-08,-3.84582e-08,-3.84766e-08,1.7869000000000002e-06,1.6585e-06
0.36,5.41016e-08,3.27218e-08,-1.0022e-07,7.7337e-06,7.610400000000002e-06
0.4,-5.6646799999999993e-08,-1.33198e-08,-3.09382e-08,3.1992e-05,3.0654e-05
0.44,5.96824e-08,3.4338e-09,4.876199999999999e-09,0.00012498,0.0001163
0.48,-5.979359999999999e-08,9.858799999999998e-09,5.006e-08,0.00039442,0.00035046
0.52,5.64186e-08,-1.9275e-08,9.3586e-09,0.0009136,0.00077136
0.56,-4.69802e-08,3.7158e-08,9.694e-08,0.0016488,0.0013372
0.6,5.857679999999999e-08,-4.4419e-08,3.1337799999999995e-08,0.0025422,0.0020012
0.64,-5.21864e-08,4.9104e-08,9.748e-08,0.0035624,0.0027372
0.68,4.27036e-08,-4.9871e-08,1.628e-08,0.0046872,0.0035274
0.72,-2.67096e-08,5.31436e-08,4.952e-08,0.0059068,0.0043642
0.76,-2.89698e-08,-4.71746e-08,-1.2264e-07,0.0072094,0.00524
0.8,4.64276e-08,4.21788e-08,-3.57762e-08,0.0085822,0.0061486
0.84,-5.873319999999999e-08,-3.1724e-08,-1.2606e-07,0.0100122,0.0070868
0.88,5.92454e-08,1.9755e-08,-3.73278e-08,0.0114944,0.0080474
0.92,-5.770119999999999e-08,-3.706e-09,-8.08e-08,0.013028,0.0090262
0.96,5.29088e-08,-3.7562e-09,-2.12864e-08,0.014586,0.0100238
1.0,-4.25062e-08,3.8082e-08,-1.3464e-07,0.016182,0.0110274
1.04,5.929579999999999e-08,-4.5296e-08,-4.43686e-08,0.017804,0.012058
1.08,-5.6466e-08,4.97846e-08,-8.792e-08,0.019454,0.013078
1.12,5.04246e-08,-4.9973e-08,-2.79354e-08,0.021118,0.014104
1.16,-4.2861e-08,5.32578e-08,8.877999999999999e-08,0.022806,0.015138
1.2,2.98432e-08,-4.692979999999999e-08,-5.086e-08,0.024506,0.016172
1.24,-1.093e-08,4.16086e-08,-9.678599999999997e-09,0.026224,0.017204
1.28,5.66768e-08,-2.95802e-08,-8.486e-08,0.027954,0.018228
1.32,-5.95602e-08,1.6950399999999998e-08,-2.70078e-08,0.029686,0.019252
1.36,6.03916e-08,-1.8183999999999998e-09,-9.112e-08,0.03143,0.020274
1.4,-5.543179999999999e-08,-5.722199999999998e-09,5.2e-08,0.033184,0.021282
1.44,4.50576e-08,1.9652e-08,-4.8359999999999994e-09,0.034934,0.022286
1.48,-3.37102e-08,-3.1852e-08,4.75e-08,0.036688,0.023282
1.52,-2.30562e-08,4.722839999999999e-08,-2.1857999999999996e-09,0.03844,0.02425
1.56,3.69378e-08,-4.690799999999999e-08,4.35e-08,0.040206,0.02523
1.6,-5.37276e-08,4.88278e-08,2.2005999999999996e-09,0.041958,0.026172
1.64,5.8981e-08,-4.75014e-08,4.534e-08,0.043706,0.027106
1.68,-5.94778e-08,5.237979999999999e-08,5.4056e-09,0.045448,0.028022
1.72,5.45528e-08,-5.04748e-08,5.618e-08,0.047174,0.028924
1.76,-5.63796e-08,5.0088e-08,4.3377e-08,0.048892,0.029802
1.8,5.1604e-08,-3.9504e-08,9.112e-08,0.050586,0.030674
1.84,-5.59424e-08,3.40658e-08,2.531e-08,0.052288,0.031504
1.88,5.7426e-08,-1.7267399999999997e-08,1.268e-07,0.0539,0.032218
1.92,-5.70246e-08,-8.337799999999997e-09,4.71476e-08,0.055564,0.032982
1.96,5.956599999999999e-08,2.30534e-08,7.89e-08,0.057192,0.033794
2.0,-6.018499999999999e-08,-3.5264e-08,-8.564e-08,0.058898,0.03455
