VBL_O,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,5.92676e-08,-3.70292e-08,5.148e-08,-0.0058216,-0.0016994
-1.96,-5.9575e-08,2.9833999999999994e-08,-9.692e-08,-0.0054878,-0.001589
-1.92,5.373219999999999e-08,-3.0730199999999995e-08,6.028e-08,-0.0051598,-0.001477
-1.88,-4.3169e-08,8.564e-09,1.04596e-08,-0.004839,-0.001371
-1.84,5.928659999999999e-08,-1.07124e-08,1.2124e-07,-0.004527,-0.0012672
-1.8,-5.758579999999999e-08,8.621199999999997e-09,1.75694e-08,-0.0042228,-0.0011634
-1.76,5.427299999999999e-08,1.15624e-08,7.738e-08,-0.0039282,-0.0010676
-1.72,-5.2589e-08,-9.639199999999997e-09,2.38372e-08,-0.003643,-0.00096862
-1.68,4.308599999999999e-08,9.4622e-09,8.192e-08,-0.0033678,-0.0008758
-1.64,-2.95028e-08,-2.7613e-08,-4.724e-09,-0.0031028,-0.0007831
-1.6,-2.67682e-08,2.41834e-08,-5.09364e-08,-0.0028482,-0.00069728
-1.56,4.31174e-08,-2.89402e-08,5.354e-08,-0.0026048,-0.00061422
-1.52,-5.4421e-08,5.097379999999999e-08,-3.17504e-08,-0.002372,-0.00053688
-1.48,5.599999999999999e-08,-5.17304e-08,-2.66e-09,-0.0021498,-0.00046562
-1.44,-5.9478399999999993e-08,4.69984e-08,-5.094e-08,-0.0019382,-0.00039852
-1.4,5.91738e-08,-3.8029e-08,9.686e-08,-0.0017376,-0.0003369
-1.36,-5.95992e-08,2.83408e-08,3.32964e-08,-0.0015468,-0.00028142
-1.32,5.41706e-08,-1.18666e-08,9.876e-08,-0.0013666,-0.00023198
-1.28,-5.48452e-08,4.3219999999999997e-10,3.13512e-08,-0.0011972,-0.00018872
-1.24,5.51582e-08,1.0983399999999998e-08,-8.255999999999998e-08,-0.0010388,-0.00015138
-1.2,-5.4278e-08,-2.30958e-08,4.456e-08,-0.0008913,-0.00011986
-1.16,5.441019999999999e-08,3.9113e-08,2.06926e-08,-0.00075562,-9.4e-05
-1.12,-5.67884e-08,-4.71056e-08,1.3974e-07,-0.00063112,-7.233e-05
-1.08,5.578019999999999e-08,4.83108e-08,4.65784e-08,-0.00051902,-5.4890000000000005e-05
-1.04,-5.78114e-08,-5.07242e-08,9.864e-08,-0.00041902,-4.1194e-05
-1.0,5.551599999999999e-08,4.98162e-08,3.2743e-08,-0.00033144,-3.0330000000000003e-05
-0.96,-4.4521e-08,-4.9526e-08,8.812e-08,-0.000256,-2.171e-05
-0.92,3.39752e-08,4.8516e-08,4.9013e-08,-0.00019258,-1.5206e-05
-0.88,-1.5198599999999998e-08,-5.07382e-08,5.257879999999999e-08,-0.00014082,-1.0416e-05
-0.84,-3.75766e-08,5.09018e-08,3.40756e-08,-9.9754e-05,-6.835200000000001e-06
-0.8,5.410179999999999e-08,-5.062659999999999e-08,8.616e-08,-6.8096e-05,-4.321400000000001e-06
-0.76,-5.6955e-08,4.87828e-08,1.7655399999999997e-08,-4.4928e-05,-2.7742000000000005e-06
-0.72,5.95334e-08,-4.96168e-08,1.2496e-07,-2.841e-05,-1.5954000000000002e-06
-0.68,-5.956879999999999e-08,4.73414e-08,-4.43e-08,-1.7062e-05,-1.1194e-06
-0.64,5.84096e-08,-1.0883e-08,-5.5142e-09,-9.854000000000001e-06,-6.7948e-07
-0.6,-5.93688e-08,-4.688e-10,2.22796e-08,-5.321100000000001e-06,-4.3766e-07
-0.56,5.35246e-08,1.0767399999999998e-08,1.4158e-07,-2.6509000000000003e-06,-4.3032e-07
-0.52,-5.614979999999999e-08,-1.90252e-08,4.39494e-08,-1.4524e-06,-3.4924e-07
-0.48,5.833659999999999e-08,3.3951e-08,7.688e-08,-7.3554e-07,-3.297e-07
-0.44,-5.84386e-08,-4.766539999999999e-08,-6.442e-08,-8.2714e-07,-2.758e-07
-0.4,5.928659999999999e-08,4.86768e-08,-1.8652e-08,-6.901e-07,-2.714e-07
-0.36,-5.837659999999999e-08,-5.1078199999999993e-08,1.5277e-08,-4.6754e-07,-3.6804e-07
-0.32,5.25954e-08,5.18158e-08,4.854e-08,-3.7868e-07,-3.9054e-07
-0.28,-4.25278e-08,-4.67864e-08,8.890399999999999e-09,-3.9964e-07,-4.629e-07
-0.24,5.46828e-08,3.86036e-08,8.532e-08,-2.2098e-07,-3.473e-07
-0.2,-4.37924e-08,-1.3481999999999998e-08,2.81252e-08,-1.9928e-07,-2.2956e-07
-0.16,3.39504e-08,1.7699999999999998e-10,1.1674e-07,-3.824e-07,-3.4952e-07
-0.12,-4.8515999999999984e-09,1.02478e-08,4.8919e-08,-1.8606e-07,-4.0472e-07
-0.08,3.1943199999999994e-08,-2.21838e-08,1.136e-07,-3.8312e-07,-3.4806e-07
-0.04,-1.80492e-08,3.77272e-08,3.5036199999999994e-08,-2.2046e-07,-3.6398e-07
0.0,-2.32054e-08,-4.9557e-08,1.1922e-07,-2.1466e-07,-2.495e-07
0.04,3.65204e-08,5.07422e-08,4.8089e-08,-4.744e-07,-3.3126e-07
0.08,-5.6218e-08,-5.1399e-08,9.812e-08,-2.6324e-07,-3.5346e-07
0.12,5.8006e-08,4.62688e-08,3.00414e-08,-3.5984e-07,-4.2032e-07
0.16,-5.90906e-08,-3.67994e-08,9.522e-08,-3.8214e-07,-2.9776e-07
0.2,5.22982e-08,2.50662e-08,-4.728e-08,-3.618e-07,-3.1998e-07
0.24,-5.61364e-08,-8.849399999999999e-09,7.36e-11,-1.961e-07,-1.7482e-07
0.28,5.7806e-08,-2.2869999999999997e-09,1.7842599999999998e-08,2.5074e-07,2.9444e-07
0.32,-5.767219999999999e-08,1.21602e-08,1.282e-07,1.2756e-06,1.3747000000000002e-06
0.36,5.93316e-08,-3.1108199999999994e-08,3.61336e-08,3.2133e-06,4.129400000000001e-06
0.4,-6.012739999999999e-08,2.75474e-08,8.884e-08,4.599900000000001e-06,7.3113e-06
0.44,5.43978e-08,-2.45404e-08,-4.492e-08,5.234e-06,9.1486e-06
0.48,-4.33224e-08,4.65052e-08,-1.1276e-08,5.542900000000001e-06,1.1178e-05
0.52,3.30804e-08,-4.723719999999999e-08,6.7408e-09,5.8069e-06,1.439e-05
0.56,-1.4161599999999998e-08,4.76934e-08,5.18e-08,6.181400000000001e-06,1.8178e-05
0.6,-3.8488e-08,-5.013379999999999e-08,-3.1339999999999997e-09,7.007800000000001e-06,2.4646e-05
0.64,5.4389399999999993e-08,4.93036e-08,4.304e-08,8.910200000000002e-06,3.5264e-05
0.68,-5.65454e-08,-5.087259999999999e-08,3.1907999999999998e-09,1.3816e-05,5.4748000000000005e-05
0.72,5.87428e-08,5.179679999999999e-08,4.714e-08,2.4046e-05,8.7296e-05
0.76,-5.828799999999999e-08,-5.10962e-08,7.328999999999999e-09,4.4818e-05,0.00013286
0.8,5.96116e-08,5.17338e-08,7.843999999999998e-08,8.2608e-05,0.0001884
0.84,-5.925319999999999e-08,-4.28034e-08,2.45132e-08,0.00014364,0.00025326
0.88,6.04974e-08,4.53874e-08,1.3032e-07,0.00023196,0.00032636
0.92,-5.30134e-08,-4.2093e-08,4.80404e-08,0.00035062,0.00040788
0.96,5.49826e-08,2.71576e-08,1.0584e-07,0.00049926,0.00049698
1.0,-5.319299999999999e-08,-2.95354e-08,3.26526e-08,0.0006758,0.00059352
1.04,3.76844e-08,-2.13942e-08,9.578e-08,0.00087788,0.0006978
1.08,-4.03172e-08,3.66918e-08,3.25356e-08,0.0011007,0.00080544
1.12,3.73406e-08,-4.621e-08,9.542e-08,0.0013496,0.00092278
1.16,-4.01364e-08,4.82438e-08,3.2738399999999994e-08,0.0016064,0.00104274
1.2,4.26084e-08,-5.10494e-08,8.93e-08,0.0018754,0.0011658
1.24,-2.92574e-08,5.16034e-08,2.27268e-08,0.002153,0.0012892
1.28,3.3422e-08,-4.79518e-08,9.346e-08,0.0024382,0.0014186
1.32,-3.6364599999999993e-08,4.12596e-08,4.1688e-08,0.0027292,0.001559
1.36,3.1992999999999994e-08,-3.28536e-08,7.414e-08,0.0030232,0.0016984
1.4,-3.52288e-08,1.97818e-08,-8.07e-08,0.0033224,0.0018528
1.44,3.5352799999999995e-08,-4.662599999999999e-09,8.9e-08,0.0036246,0.0020164
1.48,-8.8756e-09,-6.445799999999999e-09,3.874e-08,0.00393,0.0021704
1.52,-4.54988e-08,1.55654e-08,-5.743879999999999e-08,0.0042384,0.0024018
1.56,3.96662e-08,-3.01806e-08,-2.04898e-08,0.004548,0.0025832
1.6,-5.59756e-08,5.00284e-08,-1.3928e-07,0.0048618,0.002806
1.64,4.98896e-08,-5.04754e-08,4.964e-08,0.0051806,0.00323
1.68,-3.961019999999999e-08,5.06634e-08,8.783e-09,0.005502,0.0037834
1.72,6.03922e-08,-4.52272e-08,8.65e-08,0.005829,0.0041858
1.76,-5.56676e-08,3.69004e-08,2.97922e-08,0.0061608,0.0046044
1.8,4.72636e-08,-2.50148e-08,8.24e-08,0.0064976,0.0049494
1.84,-3.9316e-08,-2.9604e-09,-8.194e-08,0.0068422,0.0053336
1.88,4.19736e-08,1.14714e-08,-2.1672e-08,0.0071902,0.0057436
1.92,-2.6401e-08,-2.99932e-08,-1.367e-07,0.0075432,0.006097
1.96,-2.8105e-08,4.99716e-08,4.342e-08,0.0079014,0.0064856
2.0,4.78652e-08,-5.05652e-08,2.9066e-09,0.0082634,0.0068256
