VDD2,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.054212,-0.008391,-0.0049242,-0.0077476,-0.003723
-1.96,-0.053704,-0.0077462,-0.0045052,-0.0073146,-0.0034464
-1.92,-0.052894,-0.0071388,-0.0040998,-0.006896,-0.0031742
-1.88,-0.051994,-0.006568,-0.0037072,-0.0064918,-0.0029064
-1.84,-0.051104,-0.006035,-0.0033308,-0.006103,-0.0026438
-1.8,-0.050164,-0.0055374,-0.0029698,-0.00573,-0.0023872
-1.76,-0.049074,-0.0050746,-0.0026264,-0.005373,-0.0021382
-1.72,-0.04803,-0.004644,-0.0022996,-0.0050304,-0.0018972
-1.68,-0.046958,-0.0042456,-0.001993,-0.004703,-0.0016676
-1.64,-0.045882,-0.0038754,-0.0017078,-0.0043902,-0.0014494
-1.6,-0.044782,-0.003538,-0.001447,-0.0040912,-0.0012464
-1.56,-0.04373,-0.003221,-0.0012102,-0.0038052,-0.0010582
-1.52,-0.042562,-0.0029306,-0.00099916,-0.0035304,-0.0008867
-1.48,-0.04152,-0.0026636,-0.00081462,-0.0032678,-0.00073308
-1.44,-0.040422,-0.0024142,-0.00065614,-0.0030152,-0.00059786
-1.4,-0.039352,-0.0021834,-0.00052194,-0.0027718,-0.00048072
-1.36,-0.03827,-0.0019712,-0.00041114,-0.0025376,-0.00038196
-1.32,-0.0372,-0.001774,-0.00032122,-0.002312,-0.00029996
-1.28,-0.03609,-0.0015916,-0.0002493,-0.0020948,-0.00023348
-1.24,-0.035,-0.0014248,-0.00019234,-0.001886,-0.00018022
-1.2,-0.033896,-0.0012692,-0.00014786,-0.0016844,-0.00013816
-1.16,-0.032812,-0.0011272,-0.00011326,-0.0014912,-0.00010554
-1.12,-0.031694,-0.00100814,-8.639800000000002e-05,-0.0013062,-8.017e-05
-1.08,-0.030608,-0.00088188,-6.542600000000001e-05,-0.0011302,-6.0138e-05
-1.04,-0.029486,-0.00076986,-4.9024e-05,-0.00096322,-4.4694e-05
-1.0,-0.028342,-0.00066464,-3.6066e-05,-0.0008065,-3.261e-05
-0.96,-0.027234,-0.00056622,-2.6154e-05,-0.0006606,-2.3238e-05
-0.92,-0.026124,-0.00047486,-1.863e-05,-0.0005266,-1.6292e-05
-0.88,-0.025014,-0.00038516,-1.2924e-05,-0.00040602,-1.1144e-05
-0.84,-0.023874,-0.00030038,-8.662900000000001e-06,-0.00030018,-7.230400000000002e-06
-0.8,-0.022762,-0.00022532,-5.7193000000000005e-06,-0.00021012,-4.6248e-06
-0.76,-0.021616,-0.00015088,-3.5192000000000005e-06,-0.00013744,-2.8302000000000004e-06
-0.72,-0.020502,-9.1828e-05,-2.1539e-06,-8.296800000000001e-05,-1.5749000000000002e-06
-0.68,-0.019372,-4.3586e-05,-1.4483000000000002e-06,-4.5308e-05,-1.08442e-06
-0.64,-0.018248,-1.7116e-05,-8.715999999999999e-07,-2.2462e-05,-6.5868e-07
-0.6,-0.017116,-6.744700000000001e-06,-7.5762e-07,-1.0314e-05,-5.7262e-07
-0.56,-0.015978,-2.5625000000000005e-06,-3.6656e-07,-4.3215e-06,-3.5354e-07
-0.52,-0.014844,-9.587e-07,-4.875e-07,-1.9981000000000004e-06,-4.3532e-07
-0.48,-0.013702,1.0814e-06,-3.4674e-07,-8.7276e-07,-2.3912e-07
-0.44,-0.012568,2.6958e-06,-3.5334e-07,-6.8682e-07,-4.1222e-07
-0.4,-0.011428,4.092700000000001e-06,-3.4666e-07,-3.3956e-07,-3.1394e-07
-0.36,-0.010292,5.2259e-06,-1.5054e-07,-4.1914e-07,-1.7956e-07
-0.32,-0.0091656,6.195800000000001e-06,-2.7646e-07,-2.905e-07,-3.3562e-07
-0.28,-0.0080224,7.064200000000001e-06,-2.2582e-07,-4.0352e-07,-1.475e-07
-0.24,-0.0068798,7.7856e-06,-1.2732e-07,-3.9602e-07,-1.9168e-07
-0.2,-0.0057346,8.4046e-06,-3.1032e-07,-2.4892e-07,-3.0842e-07
-0.16,-0.0045874,8.919300000000001e-06,-7.0799999999999995e-09,-3.9074e-07,-1.5146e-07
-0.12,-0.0034428,9.4756e-06,-2.4824e-07,-2.8544e-07,-3.094e-07
-0.08,-0.0022962,1.0442e-05,-6.789999999999999e-08,-2.752e-07,-1.8056e-07
-0.04,-0.0011494,1.5306000000000002e-05,-2.4844e-07,-4.3092e-07,-1.7288e-07
0.0,-1.9023e-06,2.008e-05,-1.804e-07,-2.5632e-07,-2.8896e-07
0.04,0.0011438,2.5416e-05,8.36e-09,-3.1774e-07,-1.5616e-07
0.08,0.002289,3.1588e-05,-2.6436e-07,-3.5556e-07,-2.4542e-07
0.12,0.003434,3.8404e-05,6.9799999999999995e-09,-1.6614e-07,-2.5548e-07
0.16,0.004579,4.624000000000001e-05,-1.8072e-07,-3.15e-07,3.832e-08
0.2,0.0057244,5.5674e-05,-6.584e-08,-2.8938e-07,-2.7378e-07
0.24,0.006865,6.3258e-05,9.798e-08,-8.96e-09,-6.697499999999999e-08
0.28,0.0080076,7.4256e-05,5.7666e-07,1.8408e-07,2.3552e-07
0.32,0.009151,8.4236e-05,2.0106000000000003e-06,1.6102e-06,1.5981000000000002e-06
0.36,0.01029,9.0562e-05,6.186900000000001e-06,7.7663e-06,5.694800000000001e-06
0.4,0.0114318,0.000100964,1.4256e-05,3.1570000000000004e-05,1.3016e-05
0.44,0.012592,4.9106e-05,2.6338e-05,0.00012006,2.5058e-05
0.48,0.01373,6.079e-05,4.1504e-05,0.00035784,3.9208e-05
0.52,0.01487,7.323e-05,6.1818e-05,0.00078578,5.8544e-05
0.56,0.016006,8.8254e-05,8.656e-05,0.0013626,8.1606e-05
0.6,0.017142,0.00010558,0.00014032,0.0020362,0.00012626
0.64,0.018286,0.00010518,0.00020602,0.0027748,0.00018886
0.68,0.019416,0.0001566,0.00032792,0.0035614,0.00027062
0.72,0.020552,0.00023868,0.00052562,0.0043924,0.0004039
0.76,0.02169,0.00036258,0.00089056,0.0052648,0.00059698
0.8,0.022832,0.00054536,0.0014846,0.006158,0.00088736
0.84,0.023962,0.00080678,0.0022766,0.0070606,0.0012442
0.88,0.025102,0.001158,0.0032932,0.0079632,0.0016644
0.92,0.026238,0.0016324,0.0045182,0.0088514,0.0021306
0.96,0.027378,0.0022164,0.0059212,0.0096578,0.0026296
1.0,0.028498,0.0029086,0.0074758,0.010576,0.0031452
1.04,0.029672,0.003692,0.0091582,0.011526,0.0036732
1.08,0.03082,0.0045684,0.0109532,0.01248,0.0041726
1.12,0.03206,0.0055212,0.012862,0.013446,0.004538
1.16,0.0332,0.0065328,0.01484,0.014434,0.0043128
1.2,0.034338,0.0075944,0.016898,0.015448,0.003605
1.24,0.035486,0.0087048,0.01903,0.016478,0.0019662
1.28,0.03671,0.009849,0.021228,0.017542,0.0034752
1.32,0.037936,0.0110344,0.02349,0.01861,0.00259
1.36,0.039158,0.01221,0.025812,0.019756,0.0030946
1.4,0.040352,0.013448,0.028192,0.020928,0.0042908
1.44,0.0415,0.014688,0.030624,0.022124,0.0057286
1.48,0.042766,0.015952,0.0331,0.02336,0.0068936
1.52,0.043946,0.017194,0.035632,0.024634,0.007365
1.56,0.04512,0.018464,0.038202,0.025946,0.0080158
1.6,0.046308,0.0197,0.040812,0.02728,0.0091376
1.64,0.04745,0.020964,0.04346,0.028668,0.0097562
1.68,0.048554,0.022202,0.046144,0.030096,0.0106846
1.72,0.04965,0.023474,0.048862,0.03154,0.011508
1.76,0.050608,0.024718,0.05162,0.033004,0.012166
1.8,0.051538,0.025946,0.054406,0.034482,0.013036
1.84,0.052656,0.027156,0.057236,0.036008,0.013906
1.88,0.054064,0.028304,0.060094,0.037544,0.01468
1.92,0.055318,0.028776,0.062978,0.03909,0.015286
1.96,0.056674,0.028652,0.065898,0.040812,0.015596
2.0,0.057908,0.030702,0.068844,0.042406,0.016326
